Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
705,440.600,2.268,0.313,0.728,1.715,3.249,4.551,6.569,8.681,16.558,0.441
710,448.200,2.230,0.310,0.824,1.517,3.151,4.451,6.194,8.395,15.919,0.448
715,529.400,1.887,0.299,0.686,1.192,2.901,3.601,3.900,6.603,22.040,0.530
720,488.200,2.047,0.313,0.724,1.714,2.999,3.855,5.338,7.267,11.705,0.488
725,525.000,1.904,0.311,0.699,1.111,2.832,3.646,3.999,6.735,19.678,0.525
730,545.600,1.831,0.304,0.691,1.054,2.770,3.586,3.872,6.651,7.758,0.546
735,537.200,1.860,0.288,0.690,1.149,2.760,3.596,3.942,6.601,7.930,0.538
740,541.600,1.846,0.306,0.678,1.299,2.749,3.505,3.782,6.639,8.649,0.542
745,441.800,2.261,0.314,0.759,1.771,3.256,4.504,6.467,8.532,15.864,0.442
750,496.400,2.013,0.307,0.718,1.297,3.018,3.813,4.752,7.708,12.241,0.497
755,516.400,1.935,0.317,0.704,1.165,2.956,3.730,4.367,6.756,9.425,0.517
760,545.200,1.834,0.303,0.689,1.095,2.751,3.549,3.851,6.681,8.764,0.545
765,520.800,1.916,0.305,0.714,1.180,2.846,3.657,3.968,6.930,13.313,0.522
770,512.200,1.952,0.326,0.726,1.769,2.951,3.650,4.065,6.732,10.896,0.512
775,512.600,1.949,0.319,0.720,1.346,2.995,3.703,4.160,6.670,11.409,0.513
780,505.600,1.974,0.319,0.726,1.275,2.897,3.782,4.581,6.844,14.218,0.507
785,454.400,2.198,0.327,0.767,1.508,3.158,4.227,6.187,8.333,14.669,0.455
790,535.800,1.865,0.323,0.713,1.124,2.805,3.609,3.909,6.728,8.234,0.536
795,496.800,2.013,0.312,0.737,1.119,3.038,3.873,4.666,8.009,8.908,0.497
800,508.600,1.963,0.318,0.730,1.216,3.000,3.736,4.137,6.900,14.371,0.510
805,519.600,1.923,0.327,0.731,1.046,2.891,3.737,4.108,6.930,8.516,0.520
810,529.600,1.887,0.320,0.715,1.047,2.791,3.683,3.976,6.779,12.064,0.530
815,508.200,1.966,0.322,0.726,1.786,2.915,3.728,4.020,6.868,8.070,0.509
820,504.800,1.979,0.320,0.732,1.363,2.995,3.736,4.268,6.988,13.051,0.505
825,506.800,1.972,0.331,0.712,1.319,2.955,3.751,4.126,7.065,23.174,0.507
830,500.200,1.998,0.319,0.711,1.441,3.071,3.789,4.240,7.000,8.688,0.500
835,519.000,1.926,0.326,0.692,1.294,2.855,3.696,4.026,6.914,8.236,0.519
840,513.200,1.947,0.323,0.697,1.775,3.027,3.668,3.970,6.881,8.350,0.514
845,496.000,2.015,0.327,0.743,1.761,2.975,3.810,4.225,7.260,8.053,0.496
850,513.800,1.944,0.326,0.722,1.289,2.950,3.730,4.061,6.840,7.279,0.514
855,501.600,1.992,0.333,0.730,1.245,3.010,3.781,4.593,7.004,8.010,0.502
860,514.000,1.944,0.324,0.719,1.256,3.009,3.720,4.020,6.895,11.563,0.514
865,511.200,1.955,0.321,0.720,1.248,2.993,3.692,4.020,6.930,8.453,0.512
870,491.400,2.033,0.317,0.731,1.495,3.060,3.904,4.788,7.040,9.787,0.492
875,491.400,2.034,0.333,0.741,1.225,3.086,3.958,4.714,7.182,9.447,0.492
880,493.800,2.023,0.332,0.734,1.320,3.089,3.847,4.426,7.142,8.431,0.494
885,454.000,2.201,0.348,0.735,1.613,3.200,4.097,6.512,8.306,15.436,0.454
890,511.400,1.953,0.335,0.686,1.377,2.928,3.757,4.243,6.923,11.077,0.512
895,522.600,1.912,0.318,0.687,1.244,2.836,3.672,4.001,6.891,22.981,0.523
900,462.600,2.161,0.327,0.724,1.750,3.170,4.070,5.586,8.436,13.025,0.463
905,505.800,1.975,0.322,0.694,1.296,3.005,3.744,4.393,7.239,9.599,0.506
910,526.000,1.900,0.314,0.680,1.191,2.946,3.659,4.020,6.921,8.143,0.526
915,462.200,2.163,0.325,0.719,1.393,3.135,4.020,6.540,8.485,14.376,0.462
920,501.800,1.990,0.333,0.702,1.324,3.029,3.846,4.491,7.095,9.573,0.503
925,525.600,1.901,0.319,0.692,1.118,2.873,3.714,4.068,6.991,9.035,0.526
930,516.000,1.936,0.336,0.686,1.259,2.876,3.689,4.230,6.957,8.047,0.516
935,518.200,1.928,0.319,0.688,1.335,2.881,3.633,4.082,6.960,11.499,0.519
940,434.400,2.300,0.322,0.730,1.786,3.224,4.593,6.629,8.877,17.158,0.435
945,499.600,2.001,0.332,0.733,1.742,2.964,3.745,4.126,7.169,10.546,0.500
950,496.200,2.013,0.329,0.806,1.153,2.937,3.779,4.285,7.223,22.954,0.497
955,527.000,1.896,0.330,0.737,1.207,2.850,3.614,3.901,6.638,8.292,0.527
960,425.000,2.352,0.322,0.823,1.798,3.362,4.605,6.482,8.608,25.071,0.425
965,528.200,1.892,0.322,0.741,1.100,2.805,3.654,3.970,6.732,20.826,0.529
970,505.000,1.978,0.315,0.750,1.262,2.884,3.768,4.341,6.906,22.188,0.505
975,512.800,1.949,0.321,0.741,1.243,2.859,3.656,4.004,6.853,11.034,0.513
980,510.000,1.960,0.328,0.738,1.247,2.902,3.643,4.289,6.991,20.050,0.510
985,518.000,1.929,0.314,0.738,1.073,2.849,3.662,4.007,7.184,10.557,0.518
990,419.600,2.382,0.316,0.813,1.806,3.260,4.706,7.026,9.122,17.508,0.420
995,493.200,2.024,0.318,0.755,1.499,3.047,3.723,4.107,7.427,11.131,0.494
1000,493.800,2.022,0.318,0.744,1.277,3.039,3.762,4.183,7.450,8.593,0.495
1005,452.000,2.207,0.321,0.738,1.607,3.174,4.020,6.754,8.935,16.765,0.453
